oshpd_id2,oshpd_id,county_name,facility_name,control_type_desc,ed_lic_levl_end,ems_station,rural_hospital_desc,teaching_hospital_desc,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,LICENSE_CATEGORY_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Invalid_Blank_Race,Hispanic or Latino,Non-Hispanic or Non-Latino,Unknown_Eth,Invalid_Blank_Eth,Acute_Care,Against_Medical_Advice,Died,Other_Disp,Prison_Jail,Psychiatric_Care,Routine,SN_IC_Care,CAH,Childrens_or_Cancer,Home_Health_Service,Hospice_Care,Not_Defined_Elsewhere,Rehab,Residential_Care,Invalid_Blank_Disp,Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,DX_All_Pregnancies,DX_Birth_Defects,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Perinatal_Disorders,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Births,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Med_Device_Advrs_Incident,ECM_Natural_Envrnmntl_Factors,ECM_None,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_Undetermined_Intent,ECM_W_Inanimate_Animate_Object,ECM_Medical_Misadventures,ECM_NonTrans_Drowning_Subm,ED_Visit,All_Other_Languages,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Islander,a_Black,a_Native_American_Eskimo_Aleut,a_Other_Race,a_Unknown_Race,a_White,a_Invalid_Blank_Race,a_Hispanic or Latino,a_Non-Hispanic or Non-Latino,a_Unknown_Eth,a_Invalid_Blank_Eth,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Hospice_Care,a_Prison_Jail,a_Psychiatric_Care,a_Rehab,a_Residential_Care,a_Routine,a_SN_IC_Care,a_Not_Defined_Elsewhere,a_Childrens_or_Cancer,a_Other_Disp,a_CAH,a_Disaster_Care_Site,a_Invalid_Blank_Disp,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,a_DX_All_Pregnancies,a_DX_Blood_Disorders,a_DX_Cancer,a_DX_Circulatory_System,a_DX_Digestive_System,a_DX_Ear_Disorders,a_DX_Endocrine_Diseases,a_DX_Genitourinary_System,a_DX_Infections,a_DX_Injuries_Poisonings,a_DX_Mental_Disorders,a_DX_Musculoskeletal_System,a_DX_Nervous_System,a_DX_Respiratory_System,a_DX_Skin_Disorders,a_DX_Symptoms,a_DX_Birth_Defects,a_DX_Births,a_DX_Eye_Disorders,a_DX_Other_Reasons,a_DX_Perinatal_Disorders,a_ECM_Abnormal_Reaction_Later_Cx,a_ECM_Accidental_Falls,a_ECM_All_Transport_Types,a_ECM_Assault,a_ECM_Intentional_SelfHarm,a_ECM_Legal_War_Terrorism,a_ECM_Medical_Misadventures,a_ECM_Natural_Environmental_Fact,a_ECM_None,a_ECM_Other_Factors,a_ECM_Supplementary_Factors,a_ECM_W_Inanimate_Animate_Object,a_ECM_Med_Device_Adverse_Inciden,a_ECM_Undetermined_Intent,a_ECM_NonTrans_Drowning_Subm,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish
106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,City or County,Basic,12,,,2070 CLINTON AVE,ALAMEDA,94501,100-149,District 9,District 18,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,General Acute Care Hospital,8411,6604,,591,987,2596,2810,2146,2011,1829,1077,908,60,,1367,3076,24,4987,426,5135,,1686,12997,332,,390,601,24,1,158,241,13310,290,,,,,,,,,,980,3262,6211,3320,1242,,219,1,33,21,291,838,254,182,208,778,300,3067,720,1429,263,891,1,1391,727,3401,,17,1181,649,196,18,23,5,42,11331,376,220,14,943,,,15015,389,14173,453,1046,938,,5,72,114,156,237,412,392,596,,,,361,324,1,429,38,831,,151,1833,,,109,74,88,227,34,1,7,44,72,791,537,,,,,,,466,1272,19,199,28,,3,31,39,390,309,1,115,121,367,142,35,27,57,224,74,49,,,,,,79,133,8,6,3,1,1,3,1606,17,123,4,,,,1984,169,1773,42
106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Non-profit Corporation (incl. Church-related),Basic,22,,,2450 ASHBY AVENUE,BERKELEY,94705,300-499,District 9,District 15,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,General Acute Care Hospital,20122,15397,3,546,2003,7497,6395,4671,4823,4264,2876,2263,184,,3309,11280,69,6712,538,13614,,5497,29368,657,,288,548,22,,100,1445,32834,166,1,9,48,10,5,9,37,,,13013,8212,491,10818,2988,,1671,10,162,104,856,1811,355,648,363,2064,557,7271,2779,2541,723,653,9,2713,1306,8926,,139,2595,1396,483,71,21,36,96,27325,1320,239,27,1773,1,,35522,1070,32703,1749,2834,2511,,58,388,510,551,729,1038,989,1077,5,,,543,1687,11,700,53,2351,,601,4673,71,,161,194,138,803,109,,121,143,34,2770,870,2,,,,,,1355,2459,45,1373,113,,200,147,137,710,791,16,254,265,1125,577,123,130,186,365,134,168,2,4,4,6,1,219,399,35,12,6,1,,8,4334,30,237,50,12,2,,5345,209,4920,216
106010776,010776,ALAMEDA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,Non-profit Corporation (incl. Church-related),Basic,37,,Teaching,747 52ND STREET,OAKLAND,94609,150-199,District 9,District 15,OAKLAND WEST CENTRAL,Urban,General Acute Care Hospital,17567,19720,2,21540,10221,526,70,39,32,8,8,,4843,2,2835,9467,48,20581,274,4070,14,17541,19514,219,15,299,170,7,,24,,36339,,,,13,1,,2,,434,,28957,113,438,5598,2179,4,45,54,310,70,75,2639,1795,159,585,1146,3687,7722,478,1179,510,763,198,8419,1610,5845,,37,3261,762,161,39,1,,133,29218,1340,170,3,2158,,6,37289,1805,25848,9636,2343,2907,,1678,76,,,,,,,1078,2418,,472,993,9,2639,42,1095,,2177,3044,29,,54,16,20,18,,2,15,17,2,5106,,,,,,,,2598,15,1154,1307,176,,,278,66,51,693,25,240,236,342,902,34,133,204,1269,213,285,80,,22,34,143,100,325,229,29,5,,,2,4193,96,152,109,3,2,5,5250,244,3855,1151
106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,City or County,Basic,57,,,1411 EAST 31ST STREET,OAKLAND,94602,200-299,District 9,District 18,OAKLAND WEST CENTRAL,Urban,General Acute Care Hospital,25049,29742,,818,2471,10838,11331,9641,9858,6609,2107,935,183,,4664,22780,359,20231,188,6569,,18397,36137,257,,800,1481,130,7,1255,357,49855,277,,79,39,22,35,124,330,,,34897,6937,3095,2577,7282,3,1354,15,251,200,1729,3291,763,1348,929,2977,1504,10007,4548,5444,1758,2423,14,3870,2834,9532,,190,2956,2812,2034,102,139,25,167,41131,2141,856,36,2197,1,4,54791,3884,38661,12246,3236,4761,,151,752,1049,1141,1687,1648,853,695,21,,,1002,3253,72,2215,39,1416,,2015,5921,61,,462,397,257,376,112,71,37,263,238,4699,1010,66,3,6,,,,3887,2456,69,1275,310,,107,75,326,1156,977,14,352,257,825,1970,257,219,262,577,267,289,8,19,16,22,2,182,763,653,410,24,6,3,14,4819,86,816,149,62,9,1,7997,787,5850,1360
106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,Non-profit Corporation (incl. Church-related),Basic,25,,,350 HAWTHORNE AVENUE,OAKLAND,94609,300-499,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,General Acute Care Hospital,20487,15908,,211,954,5670,5839,5098,6086,5563,3544,3391,39,,4255,19071,64,4844,281,7880,,3751,32284,360,,515,556,68,,19,801,33746,482,4,6,71,11,11,11,94,,,15584,10646,694,6643,2828,,745,7,232,117,1297,2042,326,837,346,2084,616,6626,1976,3229,877,662,2,3174,1608,9592,,192,2640,1449,616,33,14,31,101,28603,1181,217,30,1286,2,,36395,2917,32342,1136,4529,4353,,26,318,528,759,1293,1962,1743,2253,,,,1700,3935,10,878,70,2289,,784,8006,92,,209,195,330,1739,256,,16,281,73,4088,1690,5,,,,,,2258,4909,153,1452,110,,21,255,242,2019,1096,17,420,408,1934,698,80,146,357,708,129,326,1,,16,9,,428,493,42,13,1,,2,14,7426,40,352,33,31,7,,8882,1266,7279,337
106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,Non-profit Corporation (incl. Church-related),Basic,17,,,27200 CALAROGA AVENUE,HAYWARD,94545,200-299,District 10,District 20,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,General Acute Care Hospital,16134,13540,1,3045,2905,5120,4971,3825,3797,2846,1530,1099,537,,4707,4833,66,14309,22,5736,2,12958,16622,95,,334,620,103,,223,426,27370,123,,94,,1,120,,237,24,,16753,4383,2168,3702,2669,,942,1,80,62,776,1785,831,776,397,1908,613,5315,1555,2457,576,383,32,3924,1370,5892,,166,1852,971,361,49,31,2,89,22387,1379,744,4,1639,1,,29675,1655,21822,6198,1908,1905,,31,189,237,336,648,783,766,823,,,,933,554,2,1147,4,1173,,983,2823,7,,201,113,176,650,37,,16,7,85,1738,790,,,,,,,1584,1718,8,464,39,,36,26,42,900,667,7,212,210,490,192,47,50,79,577,96,180,,,,2,,122,145,8,2,1,,,4,3120,72,298,15,26,,,3813,525,2800,488
106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,District,Basic,23,,,2000 MOWRY AVENUE,FREMONT,94538,300-499,District 10,District 20,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,General Acute Care Hospital,21873,19516,1,4262,3709,6181,6394,4853,5273,4219,2792,2846,860,1,12380,4534,69,13854,288,10240,25,9121,31833,322,114,139,,58,3,379,726,39557,323,2,23,98,32,37,7,3,3,,16872,9457,1195,9841,3699,326,867,11,169,67,1077,2822,835,656,426,2437,1254,8282,2345,2757,1033,1336,40,3975,1493,9507,1,37,2679,1280,344,58,68,2,122,32897,897,953,5,2047,1,,41390,2872,36552,1966,4260,3944,,63,202,437,505,1099,1454,1775,2563,41,65,,2915,420,10,1946,37,2872,4,1090,7050,59,5,135,,347,1514,117,,31,49,12,4434,1562,1,2,,,,,1681,4774,129,1442,178,,38,91,191,1862,1293,23,542,525,728,654,85,166,228,1146,243,357,5,8,6,5,8,184,554,30,2,1,,,14,7276,32,78,29,4,,,8204,1353,6526,325
106013619,013619,ALAMEDA,SAN LEANDRO HOSPITAL,City or County,Basic,12,,,13855 EAST 14TH STREET,SAN LEANDRO,94578,50-99,District 9,District 18,ASHLAND/BROOKFIELD VILLAGE/CASTRO VALLEY SOUTH/ELMHURST/HAYWARD NORTHEAST/SAN LEANDRO NORTH CENTRAL/,Urban,General Acute Care Hospital,15007,12584,3,933,1775,5546,5295,4235,4654,3021,1165,860,110,,2240,14630,84,6424,29,4187,,6399,21166,29,,313,2555,10,,85,832,23645,53,,33,37,3,26,2,,,,12611,4504,5273,2578,2628,,305,3,89,45,476,1475,450,388,332,2034,616,4015,1583,3342,475,1700,1,2828,1158,6277,2,27,1090,1005,548,27,37,,70,22335,1142,114,2,1197,,,27594,744,24787,2063,1094,1174,15,15,106,189,255,443,527,362,386,,,,281,968,12,393,22,607,,59,2202,22,,75,103,62,365,28,1,18,46,8,1084,493,,,,,,,872,1120,122,131,38,,3,41,40,327,329,,183,130,408,259,71,28,43,308,97,12,2,,1,1,,197,75,7,7,,1,1,6,1647,41,289,10,1,1,,2283,137,1972,174
106014050,014050,ALAMEDA,STANFORD HEALTH CARE - VALLEYCARE,Non-profit Corporation (incl. Church-related),Basic,18,,,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,150-199,District 7,District 16,DUBLIN/PLEASANTON/SANTA RITA/SUNOL,Urban,General Acute Care Hospital,15589,13872,4,2779,2774,4372,4685,3850,3844,2688,2053,1911,509,,4984,2403,79,6721,158,15118,2,4942,24283,238,2,664,,68,2,976,616,26227,165,,16,594,20,87,8,1,21,,4941,2035,7328,12123,3038,,655,8,118,57,769,1733,713,403,303,1637,637,6863,1194,1747,738,1728,34,2611,938,6579,,104,2249,1221,233,45,119,39,101,21146,1556,710,8,1925,1,8,29465,771,27442,1252,1951,1822,,30,92,219,283,476,609,838,1171,32,23,,536,144,8,503,26,2556,,373,3341,59,,157,,152,575,69,30,14,9,,1793,961,,,13,,,,504,2143,267,722,137,,33,48,99,728,555,4,167,189,699,371,51,73,77,508,80,67,3,7,1,1,12,153,243,19,3,6,1,,7,2670,100,485,27,59,,,3773,195,3463,115
106014132,014132,ALAMEDA,KAISER FOUNDATION HOSPITAL - FREMONT,Non-profit Corporation (incl. Church-related),Basic,16,,,39400 PASEO PADRE PARKWAY,FREMONT,94538,100-149,District 10,District 25,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,General Acute Care Hospital,19511,17365,2,3528,3223,4865,4986,4146,4771,3917,3300,3614,528,,11657,3076,155,8380,786,12824,,8416,27640,822,,311,634,75,,19,602,33991,267,1,12,660,56,245,3,2,,,4535,8853,695,20760,2035,,573,8,169,63,1314,2008,654,696,469,1769,875,7723,1361,2455,828,907,35,2939,1071,10961,,124,2706,1123,186,49,5,7,114,28031,1881,467,16,2167,2,,36878,1756,33511,1611,1521,1576,,16,86,147,199,411,542,726,969,,1,,863,200,6,516,8,1504,,519,2575,3,,126,18,163,1106,127,,12,9,2,1158,356,20,,,,,,150,2031,5,868,43,,16,38,41,539,395,1,131,170,913,222,36,28,41,326,80,113,2,,3,2,,138,224,15,,2,,,4,2480,51,166,14,2,1,,3097,172,2844,81
