FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106580996,ADVENTIST HEALTH AND RIDEOUT,20201,04/01/2019,03/31/2020,OPEN,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH ST,MARYSVILLE,95901,RICK RAWSON,221,221,157,5238,153,957,2957,0,0,1914,0,0,99,11318,0,29525,711,4007,13151,0,0,7193,0,0,1062,55649,0,120803,2223,17420,69711,22,0,49642,9717,0,5985,275523,501076527,12291324,63870333,206833249,0,0,134896814,0,0,11668779,930637026,280214798,6543798,32157907,161172835,62922,0,140766405,4226325,0,14405913,639550903,23299265,615640428,13042045,80730962,296330487,0,54304,0,98000491,2282738,0,0,0,0,0,14410694,1143791414,0,0,0,0,0,150620133,5452438,12634165,65780923,8617,0,169091634,1797475,0,21011130,426396515,8833651,484703549,13424007,632366,0,0,0,0,12125376,325967897,0,0,0,0,0,0,0,0,0,0,0,0,0
106150788,ADVENTIST HEALTH BAKERSFIELD,20201,04/01/2019,03/31/2020,OPEN,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,177,3329,3245,1013,3733,0,0,1032,4141,13,103,16609,0,14496,12521,3633,12154,0,0,4068,13277,37,311,60497,0,45083,14108,6893,48626,0,0,10048,71396,233,8962,205349,296915997,276910848,55851162,232095589,0,0,73962017,272563392,1358514,11273130,1220930649,192391920,145404201,22687690,207153081,0,0,80132333,294776907,163247,25455009,968164388,17613231,412607871,355919701,63513832,366646725,0,0,0,114913952,410649608,0,8213104,0,0,0,30347621,1780425645,0,0,0,0,0,74037172,63597013,13539840,71518592,0,0,37155057,144645122,1521761,2654835,408669392,5450914,402116496,0,4055241,0,0,0,0,17289151,135867997,0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,20201,04/01/2019,03/31/2020,OPEN,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVE,CLEARLAKE,95422,DAVID SANTOS,25,25,20,663,21,98,434,0,0,50,88,0,4,1358,0,3211,80,282,1473,0,0,203,302,0,7,5558,0,89537,1223,26788,88123,0,0,24466,14064,0,3551,247752,38739828,1024079,3440529,19810314,0,0,1893918,5180097,0,375213,70463978,87342582,2443496,16667387,82522343,0,0,8626904,29995105,0,5801418,233399235,5815664,79187407,2432853,12649877,77691051,-989671,0,0,3996433,16648989,0,3794524,0,0,0,4365617,205592744,0,9072260,0,0,9072260,43245064,928840,6787109,32466390,0,0,6374283,17101254,0,439789,107342729,8552361,119771436,0,123232,0,0,0,0,7561806,41188173,0,0,0,0,0,0,0,0,0,0,0,0,0
106150706,ADVENTIST HEALTH DELANO,20201,04/01/2019,03/31/2020,OPEN,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,156,578,140,405,806,0,0,90,86,0,105,2210,33,9888,1121,9120,3766,0,0,532,1452,0,279,26158,17789,11539,3506,9529,60386,0,0,10818,7755,0,6416,109949,28346383,5868153,39604094,16995991,0,0,3604390,5461484,0,1216608,101097103,12911194,4608261,7302764,43803788,0,0,11647945,6127546,0,4449643,90851141,2872006,27674133,6135592,2756008,48754738,-1915248,0,0,7073483,9214366,0,268576,0,0,0,0,102833654,0,0,0,0,0,10642862,4140822,46066098,12045041,0,0,8178852,2374664,0,5666251,89114590,551564,85106633,0,0,0,0,0,0,1725287,37152456,0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,20201,04/01/2019,05/06/2019,CLOSED,Butte,01 - Northern California,220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,ED GONZALEZ,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15682,0,4189,9851,0,0,4601,2814,0,693,37830,0,0,0,0,0,0,0,0,0,0,0,8165030,0,769307,4706742,0,0,185830,3690479,0,147910,17665298,128780,5831319,0,156140,2512108,0,0,0,102587,2900913,0,0,0,0,0,46142,11677989,0,0,0,0,0,1851106,0,619636,2396212,0,0,36507,1002686,0,81162,5987309,3362588,12587366,0,-39592,0,0,0,0,0,49496614,0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,20201,04/01/2019,03/31/2020,OPEN,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,276,8237,1918,1912,3666,0,0,184,3562,89,110,19678,0,44544,8298,13126,13009,0,0,917,13363,365,454,94076,0,63951,10401,5667,37744,0,0,12434,63835,197,4427,198656,879235627,209776421,145533068,316619547,0,0,27318517,272418709,10072465,13675955,1874650309,296347326,89140386,30751103,273082112,0,0,16800349,275000290,2148973,61165078,1044435617,17277938,1005968322,259961692,139086772,488595767,0,0,0,28034864,415450298,0,48651544,0,0,0,44935078,2447962275,0,0,0,0,0,161793827,37605765,23119315,98591706,0,0,15459316,119225516,7971622,7356584,471123651,20276661,496908261,0,6399866,0,0,0,0,6976913,187281034,0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,20201,04/01/2019,03/31/2020,OPEN,Kings,09 - Central,615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,126,3174,899,1061,3680,0,0,685,1649,0,89,11237,0,14873,4573,3668,11745,0,0,1826,4851,0,331,41867,0,52511,9281,15121,107873,0,0,24255,62718,3,7775,279537,157488262,46564689,30415422,125926631,0,0,18433567,54505250,0,4874587,438208408,128431502,37984119,35585035,300040035,0,0,46768858,159928341,13021,30327323,739078234,16570960,226997854,66368852,40878175,339210872,-4618416,0,0,39140425,120275885,0,4025929,0,0,0,33667834,882518370,0,17682589,0,0,17682589,57775270,17428797,40505480,90847269,0,0,21919802,82692494,590,1281159,312450861,6789399,307348782,0,7901935,0,0,0,0,9909782,178649993,0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20201,04/01/2019,03/31/2020,OPEN,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,24,1002,91,100,349,0,0,63,195,0,11,1811,0,3999,411,426,1520,0,0,217,646,0,54,7273,0,24781,2153,1440,17212,0,0,7103,10459,0,2009,65157,70114292,7346211,5402730,22378765,0,0,2717796,14589399,0,1348397,123897590,34824416,3590876,3240060,30568487,0,0,3868943,22442475,0,4567585,103102842,3421943,73169260,7102507,6202417,41904969,0,0,0,3563606,16743748,0,3857972,0,0,0,3418606,159385028,0,5102371,0,0,5102371,30510387,3586690,1912481,14236125,0,0,2664837,19425921,0,381334,72717775,4313349,77827432,0,3003541,0,0,0,0,6579508,61755204,0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,20201,04/01/2019,03/31/2020,OPEN,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,190,190,86,3059,834,711,1911,0,0,251,1323,0,77,8166,0,12173,3372,2499,6106,0,0,872,4157,0,207,29386,0,66545,15008,11530,79681,0,0,18008,49989,70,9641,250472,342530495,92139048,60562592,151012793,0,0,19513171,109164890,0,9797485,784720474,223618209,62409135,36329335,217961004,0,0,19917747,179204998,23055,28227547,767691030,12760361,498972036,138399679,85361599,332562888,0,0,0,22531865,191422967,0,2851470,0,0,0,33939262,1318802127,0,2246622,0,0,2246622,66283730,15018936,11879840,36098979,0,0,14760614,87994663,0,3819237,235855999,4004807,244752172,0,905017,0,0,0,0,5346451,117434400,0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST HEALTH REEDLEY,20201,04/01/2019,03/31/2020,OPEN,Fresno,09 - Central,607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,18,233,55,311,1007,0,0,8,211,0,28,1853,0,1048,245,686,2096,0,0,16,445,0,63,4599,0,76403,16219,56657,326426,0,0,5989,74396,3163,24588,583841,7220487,1774130,6103674,20303473,0,0,191990,4194383,0,662470,40450607,39393984,10515234,24902577,152938730,0,0,5111798,42186026,534271,15540872,291123492,7209774,17859328,8575538,11035941,80264344,-3867918,0,0,1215822,17948889,0,3561628,0,0,0,11731015,155534361,0,1979953,0,0,1979953,27758323,3397768,22414716,93407126,0,0,2964848,25164277,98510,2814123,178019691,796677,166607479,0,2587623,0,0,0,0,37351174,29423645,0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,20201,04/01/2019,03/31/2020,OPEN,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,91,2794,1120,365,1143,0,0,86,2019,0,56,7583,0,12888,4501,1493,4080,0,0,290,6928,0,175,30355,0,11649,3542,2531,12842,0,0,12113,35365,0,2371,80413,211902982,82929688,18771109,65605280,0,0,4824492,122705272,0,7485997,514224820,59171291,32825890,13712448,57480139,0,0,8289760,124844612,0,10697750,307021890,8108548,231738593,93728617,28133579,108552889,0,0,0,7330762,157043301,0,2270890,0,0,0,13980290,650887469,0,0,0,0,0,38368033,20787545,3845848,13883324,0,0,4854417,83253252,0,5366822,170359241,3036142,166375086,0,212937,0,0,0,0,6042654,121859433,0,0,0,0,0,0,0,0,0,0,0,0,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20201,04/01/2019,03/31/2020,OPEN,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY RD,SONORA,95370,MICHELLE FUENTES,152,152,113,2324,144,231,814,0,0,175,715,0,24,4427,44,8771,571,24349,2729,0,0,578,2019,0,92,39109,24051,189234,7024,17137,65063,0,0,18445,108909,17,10307,416136,203206231,12352555,28386216,52833589,0,0,9684351,63461746,0,1576905,371501593,409061022,18117560,15270456,100361932,0,0,33854892,180092919,55882,12020164,768834827,13308426,494963617,25669670,21722670,122719647,-150407,0,0,29772123,149391839,0,3137960,0,0,0,15481731,876017276,0,11071,0,0,11071,110514322,4651444,18917662,29443676,0,0,11479480,88367182,11283,945166,264330215,7681526,265949696,0,6434668,0,0,0,0,5843441,89940232,0,0,0,0,0,0,0,0,0,0,0,0,0
106281078,ADVENTIST HEALTH ST. HELENA,20201,04/01/2019,03/31/2020,OPEN,Napa,03 - North Bay,407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND RD.,ST. HELENA,94574,STEVEN HERBER,151,151,60,2011,151,599,480,0,0,162,618,0,13,4034,0,11333,1345,4856,2215,0,0,1021,2406,0,50,23226,0,30446,788,836,5488,0,0,5201,14441,0,916,58116,341666968,20702393,39669596,69548432,0,0,19654819,88994307,0,3241033,583477548,260136293,12920364,5539127,45558294,0,0,15474615,92866059,0,7310649,439805401,1854013,515699755,27719108,33224176,100568919,236340,0,0,26090540,122583463,0,11952121,0,0,0,8900477,848828912,0,27699810,0,0,27699810,82824514,5557466,8133488,39043562,0,0,7879103,57229499,0,1486215,202153847,7596384,236262825,0,670795,0,0,0,0,10770899,93184050,0,0,0,0,0,0,0,0,0,0,0,0,0
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20201,04/01/2019,03/31/2020,OPEN,Kern,09 - Central,623,District,Comparable,,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,20,20,14,239,60,50,150,0,0,44,90,0,12,645,0,923,241,1399,361,0,0,234,246,0,23,3427,0,6666,1714,3299,20859,0,0,2283,6180,0,839,41840,10088592,2821663,5613480,5395700,0,0,3051925,3299421,0,684706,30955487,17489592,11139702,5327693,33571506,0,0,6510087,21726836,0,3807076,99572492,3238765,18005895,9240479,7665250,30706726,-301,0,0,5467275,13762766,0,627085,0,0,0,2728604,91442544,0,0,0,0,0,9144510,4494032,3096929,7928780,0,0,3549807,10221838,0,649539,39085435,326620,41642911,0,803894,0,0,0,0,1228325,40064005,0,0,0,0,0,0,0,0,0,0,0,0,0
106540816,ADVENTIST HEALTH TULARE,20201,04/01/2019,03/31/2020,OPEN,Tulare,09 - Central,611,District,Comparable,,559-688-0821,869 NORTH CHERRY STREET,TULARE,93274,DAN HECKATHORNE,112,103,15,351,58,85,314,0,0,22,139,0,82,1051,0,1149,213,208,952,0,0,71,303,0,229,3125,0,3528,633,1735,15133,0,0,588,3632,0,2711,27960,28186021,6197179,11625837,65646663,0,0,2232165,17991508,0,17540781,149420154,6042702,570515,1271444,9396561,0,0,860486,4507294,0,576441,23225443,0,29935106,4932439,6745463,58888916,-3644948,0,0,2394937,15335906,0,1302544,0,0,0,12764805,128655168,0,0,0,0,0,3698757,1687804,7941894,16277113,0,0,640636,6748362,0,6995863,43990429,607925,55387222,0,5002,0,0,0,0,5398575,7286382,0,0,0,0,0,0,0,0,0,0,0,0,0
106231396,ADVENTIST HEALTH UKIAH VALLEY,20201,04/01/2019,03/31/2020,OPEN,Mendocino,01 - Northern California,113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,JASON WELLS,67,50,39,1402,114,288,1117,0,0,168,506,0,25,3620,0,5526,472,903,3524,0,0,549,1404,0,54,12432,0,97476,6483,5356,73931,0,0,41574,32636,0,6032,263488,77459124,5952971,12497548,48452168,0,0,7718257,21471195,0,1309599,174860862,153623305,12203315,10822920,112939716,0,0,16798635,85682209,0,8836919,400907019,5683169,177081506,13837200,14175301,134292343,-1102263,0,0,13228445,56108726,0,6707903,0,0,0,9963596,429975926,0,42481850,0,0,42481850,52168237,3842507,6782229,67099484,0,0,9917698,47830747,0,632903,188273805,4961657,198628912,0,295004,0,0,0,0,4586468,84675915,0,0,0,0,0,0,0,0,0,0,0,0,0
106481015,ADVENTIST HEALTH VALLEJO,20201,04/01/2019,03/31/2020,OPEN,Solano,03 - North Bay,409,Non Profit Corp.,Comparable,,707-963-3611,525 OREGON STREET,VALLEJO,94590,DR STEVE HERBER,61,61,57,513,208,388,0,0,0,41,1085,0,0,2235,0,6320,1649,3898,0,0,0,266,7695,0,0,19828,0,1712,172,0,0,0,0,434,2350,0,0,4668,25693020,6883629,14556387,0,0,0,1577148,30767932,0,0,79478116,4451773,1884995,0,0,0,0,1019741,6486791,0,0,13843300,490682,21601178,5632362,9968510,0,0,0,0,1742068,24979439,0,1749998,0,0,0,268636,66432873,0,0,0,0,0,7721676,3030054,4121590,0,0,0,492727,11522496,0,0,26888543,125343,30873460,0,0,0,0,0,0,0,843660,0,0,0,0,0,0,0,0,0,0,0,0,0
106190878,ADVENTIST HEALTH WHITE MEMORIAL,20201,04/01/2019,03/31/2020,OPEN,Los Angeles,11 - Los Angeles,925,Non Profit Corp.,Comparable,Teaching,323-268-5000,1720 E. CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,JOHN RAFFOUL,353,353,240,3064,2716,4403,6650,0,0,260,2280,100,329,19802,0,16987,10975,20500,27352,0,0,1759,7862,251,967,86653,0,24010,16693,18576,50251,0,0,7828,23509,1309,3663,145839,361241721,299435110,352086429,609353449,0,0,5512114,189023503,5855111,30385397,1852892834,110192900,115592491,74272165,334276122,0,0,7393861,132096174,710766,30866110,805400589,12580067,407780630,345293345,371600291,825031175,-39694413,0,0,6350097,251163725,0,10720279,0,0,0,60405650,2251230846,85969,37120597,0,387757,37594323,55698107,67602519,55111569,185436134,0,0,5310900,59407243,1773581,14316847,444656900,15796128,460556950,0,6981831,0,0,0,0,7746255,136327259,0,0,0,0,0,0,0,0,0,0,0,0,0
