Title,Description,Department,Program,Contact Email,Homepage URL,Temporal Coverage,Spatial/Geographic Coverage,Geographic Granularity,Language,Frequency,De-Identification Method,Source Link,Data Collection Tool,License,Limitations,Additional Limitations,Additional Information,Related Resources,Secondary Sources,Citation,Created,Last Updated,Topic,Tags,Dataset URL,Dataset ID
ABCD 350: Annual Recipient Report,"The Annual Recipient Report (ABCD 350) includes data on the ethnic origins and primary languages of recipients of CalWORKs, Foster Care (FC), Social Services, Non-Assistance CalFresh (NACF), CalWORKs Welfare-to-Work (WTW), Refugee Cash Assistance (RCA), and the Cash Assistance Program for Immigrants (CAPI).",California Department of Social Services,Multiple,opendata@dss.ca.gov,http://www.cdss.ca.gov,July 2002 - Present,Statewide,county,English,annually,"The presence of ""*"" in data cells indicates that data for this particular item cannot be displayed because the numbers of persons is too small and has been suppressed to protect individual confidentiality.
Long File: A blank data cell indicates that data for this particular item cannot be displayed because the numbers of persons is too small and has been suppressed to protect individual confidentiality.",,,Terms of Use,Limitations,,"The presence of ""."" in data cells indicates that data for this particular item did not exist during the reporting period.",ACIN I-36-18,,,2018-08-08T19:17:03.654370,2020-01-08T19:14:54.679501,Demographics,,https://data.chhs.ca.gov/dataset/abcd-350-annual-recipient-report,abcd-350-annual-recipient-report
Training Resources Only,"These data set resources are for training purposes only.  They are not updated by the Department of Aging and do not reflect accurate data.   These files are used as part of the scheduled training courses given by the Portal Administration staff.  If you require training, please use the 'Contact' link above to request a schedule of the next available dates.",California Health and Human Services Agency,CHHS Portal Administration,charlene.ellsworth@oshpd.ca.gov,www.data.chhs.ca.gov, ,,other,English,other,,,,Terms of Use,Limitations,,,,,,2017-11-01T21:24:00.528543,2018-04-23T14:51:21.152675,Resources,"resources,training",http://chhs.ckan.opendata.production.opengov.zone/dataset/administration-training-resources,administration-training-resources
Adolescent Births,"This dataset contains California’s adolescent birth rate (ABR) by county, age group and race/ethnicity using aggregated years 2014-2016. The ABR is calculated as the number of live births to females aged 15-19 divided by the female population aged 15-19, multiplied by 1,000. Births to females under age 15 are uncommon and thus added to the numerator (total number of births aged 15-19) in calculating the ABR for aged 15-19. The categories by age group are aged 18-19 and aged 15-17; births occurring to females under aged 15 are added to the numerator for aged 15-17 in calculating the ABR for this age group. The race and ethnic groups in this table utilized five mutually exclusive race and ethnicity categories. These categories are Hispanic and the following Non-Hispanic categories of Multi-Race, Black, American Indian (includes Eskimo and Aleut), Asian and Pacific Islander (includes Hawaiian) combined, and White. Note that there are birth records with missing race/ethnicity or categorized as “Other” and not shown in the dataset but included in the ABR calculation overall.",California Department of Public Health,"Maternal, Child and Adolescent Health Division ",opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CFH/DMCAH/Pages/Data/Adolescent-Health-Data.aspx ,Aggregated 2014-2016,California,county,English (EN),other,De-Identification Methods used: County with 1-9 adolescent births and adolescent female population are not shown. ,https://www.cdph.ca.gov/Programs/CFH/DMCAH/aflp/Pages/Default.aspx,Birth data registered in the California Automated Vital Statistics System and California Department of Finance Population projection. ,Terms of Use,Limitations,,,,,"Maternal, Child and Adolescent Health Division, California Department of Public Health. 2018. Adolescent birth rates by county, age group and race/ethnicity, 2014-2016.",,,Demographics,"abr,adolescent births,maternal child adolescent health,pbhp,poverty,prb,repeat births,teen births,adolescent health,birth rates",https://data.chhs.ca.gov/dataset/adolescent-births-2010-2012,adolescent-births-2010-2012
Adult Cigarette and Tobacco Use Prevalence,"This dataset contains two data files: 1) Adult cigarette use prevalence and 2) Adult tobacco use prevalence in California.  Tobacco use includes cigarettes, cigars, little cigars or cigarillos, pipe tobacco, smokeless tobacco (e.g. chew, snuff, snus), hookah, or electronic smoking devices (e.g. e-cigarettes, vape pens, pod mods). See the individual file description for more information on each data file.

The California Behavioral Risk Factor Surveillance System (BRFSS) is an on-going telephone survey of randomly selected adults, which collects information on a wide variety of health-related behaviors, including current cigarette and tobacco usage. Data are collected monthly from a random sample of the California population aged 18 years and older. The BRFSS has been conducted since 1984 by the California Department of Public Health in collaboration with the Centers for Disease Control and Prevention (CDC). ",California Department of Public Health,California Tobacco Control Program,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CTCB/Pages/CaliforniaTobaccoControlBranch.aspx,Cigarette Use: 1984-2018; Tobacco Use: 2016-2018,California,statewide,English (EN),annually,,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CTCB/Pages/CaliforniaTobaccoControlBranch.aspx,California Behavioral Risk Factor Surveillance System (BRFSS) https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CTCB/Pages/SurveyInstrument.aspx,Terms of Use,Limitations,,,,http://www.cdc.gov/brfss/,"California Tobacco Control Program, California Department of Public Health. Adult Smoking Prevalence in California: California Behavioral Risk Factor Surveillance System, 1984-2018. Sacramento, CA: California Department of Public Health; 2019. https://data.chhs.ca.gov/. Accessed [DATE].

California Tobacco Control Program, California Department of Public Health. Adult Tobacco Use Prevalence in California: California Behavioral Risk Factor Surveillance System, 2016-2018. Sacramento, CA: California Department of Public Health; 2019. https://data.chhs.ca.gov/. Accessed [DATE].",,,Diseases and Conditions,"chew,cigarettes,cigarillos,cigars,e-cigarettes,e-cigs,ecigs,electronic smoking device,hookah,pipe tobacco,pod mods,prevalence,smoking,snuff,snus,tcb,tcp,tobacco,vape,vape pens",https://data.chhs.ca.gov/dataset/adult-cigarette-and-tobacco-use-prevalence,adult-cigarette-and-tobacco-use-prevalence
Adult Depression (LGHC Indicator),"This is a source dataset for a Let's Get Healthy California indicator at ""https://letsgethealthy.ca.gov/."" This table displays the proportion of adults who were ever told they had a depressive disorder in California. It contains data for California only. The data are from the California Behavioral Risk Factor Surveillance Survey (BRFSS). The California BRFSS is an annual cross-sectional health-related telephone survey that collects data about California residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services. The BRFSS is conducted by Public Health Survey Research Program of California State University, Sacramento under contract from CDPH. This indicator is based on the question: ""“Has a doctor, nurse or other health professional EVER told you that you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?” NOTE: Denominator data and weighting was taken from the California Department of Finance, not U.S. Census. Values may therefore differ from what has been published in the national BRFSS data tables by the Centers for Disease Control and Prevention (CDC) or other federal agencies.",California Department of Public Health,"Chronic Disease Surveillance and Research Branch (CDSRB), CDPH",opendata@cdph.ca.gov,http://www.csus.edu/research/phsrp/brfss.html,2012-2018,California,statewide,English,annually,,,http://www.csus.edu/research/phsrp/brfss.html,Terms of Use,Limitations,,,,,,,,Diseases and Conditions,"adults,behavioral risk factor surveillance survey,brfss,depression,depressive disorder,lets get healthy california,lghc,mental health,serious psychological distress",https://data.chhs.ca.gov/dataset/adult-depression-lghc-indicator-24,adult-depression-lghc-indicator-24
Adults Meeting Physical Activity Guidelines (LGHC Indicator),"This is a source dataset for a Let's Get Healthy California indicator at https://letsgethealthy.ca.gov/. This table displays the percentage of adults meeting Aerobic Physical Activity guidelines in California. It contains data for California only. The data are from the California Behavioral Risk Factor Surveillance Survey (BRFSS). The California BRFSS is an annual cross-sectional health-related telephone survey that collects data about California residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services. The BRFSS is conducted by the Public Health Survey Research Program of California State University, Sacramento under contract from CDPH.
The column percentages are weighted to the 2010 California Department of Finance (DOF) population statistics. Population estimates were obtained from the CA DOF for age, race/ethnicity, and sex.  Values may therefore differ from what has been published in the national BRFSS data tables by the Centers for Disease Control and Prevention (CDC) or other federal agencies.",California Department of Public Health,"Chronic Disease Surveillance and Research Branch (CDSRB), CDPH",opendata@cdph.ca.gov,http://www.csus.edu/research/phsrp/brfss.html,2013-2017,California,statewide,English (EN),other,,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/NEOPB/Pages/Program-Landing2.aspx,http://www.csus.edu/research/phsrp/brfss.html,Terms of Use,Limitations,,,,,"California Department of Public Health. California Behavioral Risk Factor Surveillance System (BRFSS) SAS Dataset. Public Health Survey Research Program, California State University, Sacramento, 2013.",,,Diseases and Conditions,"adult physical activity,aerobic exercise,behavioral risk factor surveillance survey,brfss,lets get healthy california,lghc",https://data.chhs.ca.gov/dataset/adults-meeting-physical-activity-guidelines-lghc-indicator-16,adults-meeting-physical-activity-guidelines-lghc-indicator-16
Adults with Diabetes Per 100 (LGHC Indicator),"This is a source dataset for a Let's Get Healthy California indicator at ""https://letsgethealthy.ca.gov/. This table displays the prevalence of diabetes in California. It contains data for California only. The data are from the California Behavioral Risk Factor Surveillance Survey (BRFSS). The California BRFSS is an annual cross-sectional health-related telephone survey that collects data about California residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services.  The BRFSS is conducted by Public Health Survey Research Program of California State University, Sacramento under contract from CDPH. This prevalence rate does not include pre-diabetes, or gestational diabetes. This is based on the question: ""Has a doctor, or nurse or other health professional ever told you that you have diabetes?"" The sample size for 2014 was 8,832. NOTE: Denominator data and weighting was taken from the California Department of Finance, not U.S. Census. Values may therefore differ from what has been published in the national BRFSS data tables by the Centers for Disease Control and Prevention (CDC) or other federal agencies.",California Department of Public Health,"Chronic Disease Surveillance and Research Branch (CDSRB), CDPH",opendata@cdph.ca.gov,http://www.csus.edu/research/phsrp/brfss.html,2012-2018,California,statewide,English (EN),annually,,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CDCB/Pages/DiabetesPrevention.aspx,http://www.csus.edu/research/phsrp/brfss.html,Terms of Use,Limitations,,,,,"Chronic Disease Control Branch, California Department of Public Health. 2014. diabetes, 2014.csv",,,Diseases and Conditions,"behavioral risk factor surveillance survey,brfss,diabetes,diabetes prevalence,diabetes rate,lets get healthy california,lghc",https://data.chhs.ca.gov/dataset/adults-with-diabetes-per-100-lghc-indicator-23,adults-with-diabetes-per-100-lghc-indicator-23
Automated Eligibility Verification System (AEVS): Carrier Codes for Other Health Coverage,"This dataset provides basic information about third parties who may be liable for medical expenses that would otherwise be paid by Medi-Cal. This information is based on a point in time and is expected to be updated monthly. The data is retrieved from the Carrier Code Master File (CCMF), which is used to bill liable third parties to ensure Medi-Cal remains the payer of last resort.",Department of Health Care Services,Third Party Liability and Recovery Division / Cost Avoidance Section / Other Coverage Unit,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov/services/Pages/TPLRD_OCU_cont.aspx,Current as of the first of the month,Nation wide,location point,English,monthly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,,Terms of Use,Limitations,,,,,,2017-12-04T21:02:10.383983,2020-07-29T16:09:14.438131,Facilities and Services,,https://data.chhs.ca.gov/dataset/aevs-carrier-codes-for-other-health-coverage,aevs-carrier-codes-for-other-health-coverage
Age and Gender of Eligible Individuals selecting Covered California Qualified Health Plan (QHP),"This dataset includes age and gender of eligible individuals who selected and enrolled in a Covered California Qualified Health Plan (QHP), by reporting period. Covered California reported data is from the California Healthcare Eligibility, Enrollment and Retention System (CalHEERS) and includes those who selected and enrolled in a QHP, and paid their first premium. This dataset is part of public reporting requirements set forth by the California Welfare and Institutions Code 14102.5.",Department of Health Care Services,Covered California,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov,2016 Quarter 1 to 2020 Quarter 2,California,statewide,English,quarterly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,"California Healthcare Eligibility, Enrollment and Retention System (CalHEERS)",Terms of Use,Limitations,"Some presented eligible counts are considered preliminary and subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the reporting month’s end.",,,,,2017-09-28T21:07:25.388379,2020-09-30T17:36:54.032376,Healthcare,,https://data.chhs.ca.gov/dataset/age-and-gender-of-eligible-individuals-selecting-covered-california-qualified-health-plan,age-and-gender-of-eligible-individuals-selecting-covered-california-qualified-health-plan
Age and Gender of Newly Medi-Cal Eligible Individuals,"This dataset includes age and gender of newly Medi-Cal eligible individuals, by reporting period. The age and gender data is from the Medi-Cal Eligibility Data System (MEDS), and includes eligible individuals without prior Medi-Cal Eligibility. This dataset is part of the public reporting requirements set forth in California Welfare and Institutions Code 14102.5.",Department of Health Care Services,Medi-Cal Eligibility Division / Program Review Branch / Data Analytics Section,opendata@dhcs.ca.gov ,http://www.dhcs.ca.gov/Pages/default.aspx,2016 Quarter 1 to 2020 Quarter 2,California,statewide,English,quarterly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,Medi-Cal Eligibility Data System (MEDS),Terms of Use,Limitations,"Some presented eligible counts are considered preliminary and subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the reporting month’s end.",,,,,2017-10-02T21:17:53.589872,2020-09-02T16:20:49.135351,Healthcare,,https://data.chhs.ca.gov/dataset/age-and-gender-of-newly-medi-cal-eligible-individuals,age-and-gender-of-newly-medi-cal-eligible-individuals
