year,oshpd_id,facility_name,county_name,er_service_level_desc,type,count
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2595
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13727
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,6047
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35342
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,6911
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39218
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6324
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,31731
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8992
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,74202
2012,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,8360
2012,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,92021
2012,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,8173
2012,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,68854
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7842
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32673
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4710
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30479
2012,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7577
2012,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,41713
2012,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,3104
2012,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,23018
2012,106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,,ED_Admit,4
2012,106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,,ED_Visit,
2012,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4038
2012,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,24164
2012,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1720
2012,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,16815
2012,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Admit,459
2012,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Visit,7657
2012,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,ED_Admit,3619
2012,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,ED_Visit,18781
2012,106040937,OROVILLE HOSPITAL,BUTTE,BASIC,ED_Admit,8534
2012,106040937,OROVILLE HOSPITAL,BUTTE,BASIC,ED_Visit,23822
2012,106040962,ENLOE MEDICAL CENTER- ESPLANADE,BUTTE,BASIC,ED_Admit,9467
2012,106040962,ENLOE MEDICAL CENTER- ESPLANADE,BUTTE,BASIC,ED_Visit,32000
2012,106050932,MARK TWAIN MEDICAL CENTER,CALAVERAS,BASIC,ED_Admit,1125
2012,106050932,MARK TWAIN MEDICAL CENTER,CALAVERAS,BASIC,ED_Visit,7650
2012,106060870,COLUSA MEDICAL CENTER,COLUSA,STANDBY,ED_Admit,604
2012,106060870,COLUSA MEDICAL CENTER,COLUSA,STANDBY,ED_Visit,5323
2012,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,CONTRA COSTA,BASIC,ED_Admit,5487
2012,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,CONTRA COSTA,BASIC,ED_Visit,39670
2012,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Admit,5755
2012,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Visit,52690
2012,106070934,SUTTER DELTA MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Admit,6738
2012,106070934,SUTTER DELTA MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Visit,47097
2012,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CONTRA COSTA,BASIC,ED_Admit,10153
2012,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CONTRA COSTA,BASIC,ED_Visit,35830
2012,106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CONTRA COSTA,BASIC,ED_Admit,8006
2012,106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CONTRA COSTA,BASIC,ED_Visit,44850
2012,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONTRA COSTA,BASIC,ED_Admit,6661
2012,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONTRA COSTA,BASIC,ED_Visit,42763
2012,106074017,SAN RAMON REGIONAL MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Admit,2666
2012,106074017,SAN RAMON REGIONAL MEDICAL CENTER,CONTRA COSTA,BASIC,ED_Visit,14225
2012,106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,CONTRA COSTA,BASIC,ED_Admit,4133
2012,106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,CONTRA COSTA,BASIC,ED_Visit,36745
2012,106084001,SUTTER COAST HOSPITAL,DEL NORTE,BASIC,ED_Admit,1725
2012,106084001,SUTTER COAST HOSPITAL,DEL NORTE,BASIC,ED_Visit,19764
2012,106090793,BARTON MEMORIAL HOSPITAL,EL DORADO,BASIC,ED_Admit,1617
2012,106090793,BARTON MEMORIAL HOSPITAL,EL DORADO,BASIC,ED_Visit,15134
2012,106090933,MARSHALL MEDICAL CENTER,EL DORADO,BASIC,ED_Admit,3904
2012,106090933,MARSHALL MEDICAL CENTER,EL DORADO,BASIC,ED_Visit,21652
2012,106100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,BASIC,ED_Admit,3949
2012,106100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,BASIC,ED_Visit,33811
2012,106100697,COALINGA REGIONAL MEDICAL CENTER,FRESNO,STANDBY,ED_Admit,340
