#,Name,Description,Type,Street Address,City,State,Zip Code,Phone,Weblink,Full Address,Latitude,Longitude
1,CATHOLIC CHARITIES OF LOS ANGELES - ST ROBERT'S CENTER,"The center provides emergency food for residents of Santa Monica, Venice, LAX Airport, West Los Angeles, Beverly Hills, and Culver City areas, including Malibu, Topanga, Pacific Palisades, Brentwood and Bel Air. Geographic restrictions apply for services.",Physical,211 3rd Ave.,Venice,CA,90291,(310) 392-8701,https://www.211la.org/211search/more?site_id=1009689001,"211 3rd Ave., Venice, CA 90291",33.998136,-118.477424
2,SALVATION ARMY CORPS COMMUNITY CENTER - SANTA MONICA,"The agency provides emergency food, homeless support services, holiday assistance, personal goods, services for older adults and recreational programs for people of all ages who are in Santa Monica, including people who are homeless. Services are restricted to Santa Monica and Venice residents.",Physical,1533 4th St.,Santa Monica,CA,90401,(310) 451-1358,https://www.211la.org/211search/more?site_id=1010729001,"1533 4th St., Santa Monica, CA 90401",34.014751,-118.492991
3,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - EAST LOS ANGELES COMMUNITY SERVICE CENTER","The agency provides emergency food, information and referral, recreational programs and utility bill assistance to people who live in East Los Angeles. Most services are restricted to East Los Angeles zip codes 90023, 90033 and 90063.",Physical,133 N. Sunol Dr.,Los Angeles,CA,90063,(323) 260-2801,https://www.211la.org/211search/more?site_id=1008469001,"133 N. Sunol Dr., Los Angeles, CA 90063",34.037377,-118.178424
4,SALVATION ARMY SERVICE EXTENSION OFFICE - NEWHALL,"The agency provides emergency food, holiday assistance, personal goods, recreational programs and utility bill assistance for people who live in Aqua Dulce, Newhall, Santa Clarita, Saugus, Val Verde and Valencia. Geographic restrictions apply for some services.",Physical,"229-35 Lyons Ave., Ste. E",Newhall,CA,91321,(661) 799-7486,https://www.211la.org/211search/more?site_id=1044589001,"229-35 Lyons Ave., Ste. E, Newhall, CA 91321",34.379445,-118.542519
5,SHEKINAH WORSHIP CENTER,The center provides emergency food to individuals in the Antelope Valley. Geographic restrictions apply.,Physical,42640 10th St. West,Lancaster,CA,93534,(661) 940-8378,https://www.211la.org/211search/more?site_id=1053649001,"42640 10th St. West, Lancaster, CA 93534",34.658923,-118.147572
6,CHURCH OF THE REDEEMER,"The agency provides emergency food and holiday assistance for anyone in need. Services are restricted to Azusa, Baldwin Park, Covina, Duarte, El Monte, Irwindale and La Puente residents.",Physical,3739 Monterey Ave.,Baldwin Park,CA,91706,(626) 960-9585,https://www.211la.org/211search/more?site_id=1033489001,"3739 Monterey Ave., Baldwin Park, CA 91706",34.080117,-117.976835
7,ST LAWRENCE MARTYR CATHOLIC CHURCH,"The church provides emergency food for people who live in Redondo Beach and Torrance, including people who are homeless or undocumented. Services are restricted to Redondo Beach and Torrance residents.",Physical,1900 S. Prospect Ave.,Redondo Beach,CA,90277,(310) 540-0329,https://www.211la.org/211search/more?site_id=1033579001,"1900 S. Prospect Ave., Redondo Beach, CA 90277",33.818004,-118.376422
8,INTERFAITH FOOD CENTER,"The agency provides emergency food for low-income people in the Whittier area including people who are homeless. Service is restricted to residents of La Mirada, Santa Fe Springs and Whittier.",Physical,11819 Burke St.,Santa Fe Springs,CA,90670,(562) 903-1478,https://www.211la.org/211search/more?site_id=1033709001,"11819 Burke St., Santa Fe Springs, CA 90670",33.963051,-118.064929
9,GRACE RESOURCES INC,"The agency provides education services, emergency food, holiday assistance, personal goods and a thrift shop for people who live in the Antelope Valley, including people who are homeless and undocumented. Geographic restrictions apply for some services.",Physical,45134 N. Sierra Hwy.,Lancaster,CA,93534,(661) 940-5272,https://www.211la.org/211search/more?site_id=1033809001,"45134 N. Sierra Hwy., Lancaster, CA 93534",34.702937,-118.137311
10,ST JOHN'S EPISCOPAL CATHEDRAL,"The church provides emergency food for people in Los Angeles County, including people who are homeless or undocumented. There are no geographic restrictions.",Physical,514 W. Adams Blvd.,Los Angeles,CA,90007,(213) 747-6285,https://www.211la.org/211search/more?site_id=1033989001,"514 W. Adams Blvd., Los Angeles, CA 90007",34.02767,-118.27529
11,ST AUGUSTINE VOLUNTEER EMERGENCY SERVICES,The agency provides emergency food for people who live in Culver City and portions of Los Angeles zip codes 90034. Geographic restrictions apply.,Physical,3850 Jasmine Ave.,Culver City,CA,90232,(310) 838-2702,https://www.211la.org/211search/more?site_id=1034269001,"3850 Jasmine Ave., Culver City, CA 90232",34.02097,-118.400864
12,SOVA FOOD PANTRY AND RESOURCE CENTER - WEST,"The administrative office provides information on Sova emergency food programs in West Los Angeles and San Fernando Valley. Services are targeted, but not restricted to West Los Angeles and San Fernando Valley residents. There are geographic restrictions.",Physical,8846 W. Pico Blvd.,Los Angeles,CA,90035,(818) 988-7682,https://www.211la.org/211search/more?site_id=1034469003,"8846 W. Pico Blvd., Los Angeles, CA 90035",34.05482,-118.38486
13,VALLEY BETH SHALOM,"The agency provides emergency food for people in the San Fernando Valley, including people who are undocumented, homeless or receive government assistance. Services are restricted to San Fernando Valley residents.",Physical,15739 Ventura Blvd.,Encino,CA,91436,(818) 788-6000,https://www.211la.org/211search/more?site_id=1034609001,"15739 Ventura Blvd., Encino, CA 91436",34.155634,-118.476537
14,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - LONG BEACH,The program provides emergency food services and nutrition information for low-income persons who have AIDS or HIV illness in Los Angeles County. There are no geographic restrictions.,Physical,3935 E. 10th St.,Long Beach,CA,90813,(213) 201-1326,https://www.211la.org/211search/more?site_id=1030729005,"3935 E. 10th St., Long Beach, CA 90813",33.779225,-118.146143
15,BIENESTAR HUMAN SERVICES,"The program provides emergency food, HIV/AIDS services, housing services, mental health services and substance use disorder services for adolescents and adults in Los Angeles County. Services are targeted, but not restricted, to the Spanish-speaking community. Many services are restricted to people who are HIV or who have AIDS; age and income restrictions apply for some services; some are targeted to gay and bisexual men. There are no geographic restrictions.",Physical,5326 E. Beverly Blvd.,Los Angeles,CA,90022,(866) 590-6411,https://www.211la.org/211search/more?site_id=1032919001,"5326 E. Beverly Blvd., Los Angeles, CA 90022",34.030122,-118.150592
16,GRATEFUL HEARTS,The agency provides emergency food and volunteer opportunities for people who live in Los Angeles County. There are no geographic restrictions.,Physical,5420 Katella Ave.,Los Alamitos,CA,90720,(562) 431-0880,https://www.211la.org/211search/more?site_id=1063100001,"5420 Katella Ave., Los Alamitos, CA 90720",33.802645,-118.038262
17,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - ST ANDREW AND ST CHARLES CHURCH,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,16651 Rinaldi St.,Granada Hills,CA,91344,(818) 366-7541,https://www.211la.org/211search/more?site_id=1067440004,"16651 Rinaldi St., Granada Hills, CA 91344",34.279498,-118.494981
18,ANTELOPE VALLEY PARTNERS FOR HEALTH,"Antelope Valley Partners for Health is a planning and advisory group in the Antelope Valley that implements community and health services through collaboration of local residents, agencies, faith-based organizations and government entities. The organization provides administrative services, community services, emergency food, family support services and volunteer services. There are no geographic restrictions.",Physical,44226 10th St. West,Lancaster,CA,93534,(661) 942-4719,https://www.211la.org/211search/more?site_id=1061710001,"44226 10th St. West, Lancaster, CA 93534",34.686484,-118.146755
19,BEAUTY OF HOLINESS CHURCH,This agency provides emergency food and personal goods for individuals and families in the Antelope Valley. Geographic restrictions apply.,Physical,44628 10th St. W.,Lancaster,CA,93534,(661) 528-8170,https://www.211la.org/211search/more?site_id=1069970001,"44628 10th St. W., Lancaster, CA 93534",34.695944,-118.147884
20,CATHOLIC CHARITIES OF LOS ANGELES - ST MARGARET'S CENTER,"The center provides advocacy, counseling services, education services, emergency food, homeless support services, immigration services, recreation programs and utility bill assistance to individuals in the South Bay area. Geographic restrictions apply for some services.",Physical,10217 Inglewood Ave.,Lennox,CA,90304,(310) 672-2208,https://www.211la.org/211search/more?site_id=1009679001,"10217 Inglewood Ave., Lennox, CA 90304",33.943104,-118.361504
21,CHARISMA LIFE CHURCH,The agency provides emergency food for people in the Pomona area. Geographic restrictions apply.,Physical,305 E. Arrow Hwy.,Pomona,CA,91767,(909) 626-1281,https://www.211la.org/211search/more?site_id=1069110001,"305 E. Arrow Hwy., Pomona, CA 91767",34.091292,-117.745541
22,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - NEW HOPE CHURCH,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,14539 Sylvan St.,Van Nuys,CA,91411,(661) 294-7777,https://www.211la.org/211search/more?site_id=1067430004,"14539 Sylvan St., Van Nuys, CA 91411",34.184803,-118.450075
23,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - CALVARY BAPTIST OF PACOIMA (LIFE CENTER),"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,12900 Vaughn St.,San Fernando,CA,91340,(818) 470-1480,https://www.211la.org/211search/more?site_id=1067440005,"12900 Vaughn St., San Fernando, CA 91340",34.288124,-118.413365
24,CITY OF LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT - WEST ADAMS FAMILYSOURCE - 1736 FAMILY CRISIS CENTER,"City of Los Angeles Housing and Community Investment Department provides counseling services, disaster services, emergency food, family life education, family support services and youth services for people of all ages in Los Angeles city. Services are provided through a network of 17 familysource centers and are restricted to residents of Los Angeles.",Physical,"2116 Arlington Ave., Ste. 200",Los Angeles,CA,90018,(323) 737-3900,https://www.211la.org/211search/more?site_id=1067440005,"2116 Arlington Ave., Ste. 200, Los Angeles, CA 90018",34.03746,-118.317522
25,HOLLYPARK UMC OUTREACH PROGRAM,The program provides emergency food for people in Los Angeles county. There are no geographic restrictions.,Physical,13000 S. Van Ness Blvd.,Gardena,CA,90249,(310) 516-6457,https://www.211la.org/211search/more?site_id=1064570001,"13000 S. Van Ness Blvd., Gardena, CA 90249",33.914984,-118.317426
26,ST FERDINAND OUTREACH CENTER,The agency provides emergency food and utility bill assistance for people in the San Fernando Valley. Geographic restrictions apply for some services.,Physical,1040 Coronel St.,San Fernando,CA,91340,(818) 365-3194,https://www.211la.org/211search/more?site_id=1060870001,"1040 Coronel St., San Fernando, CA 91340",34.280797,-118.442999
