OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,930000005,Parent Facility,100 S RAYMOND AVE,ALHAMBRA,91801,19,Los Angeles,Emergency - Basic,144,Open,1/1/1946,Hospital,General Acute Care Hospital,34.08988,-118.1449
106190020,BHC ALHAMBRA HOSPITAL,930000006,Parent Facility,4619 ROSEMEAD BLVD,ROSEMEAD,91770,19,Los Angeles,Not Applicable,97,Open,1/1/1946,Hospital,Acute Psychiatric Hospital,34.08926,-118.07352
106190034,ANTELOPE VALLEY HOSPITAL,930000008,Parent Facility,1600 W AVE J,LANCASTER,93534,19,Los Angeles,Emergency - Basic,420,Open,9/27/1955,Hospital,General Acute Care Hospital,34.6878,-118.157981
106190045,CATALINA ISLAND MEDICAL CENTER,930000010,Parent Facility,100 FALLS CANYON RD,AVALON,90704,19,Los Angeles,Emergency - Standby,12,Open,1/1/1946,Hospital,General Acute Care Hospital,33.33887,-118.33369
106190049,KINDRED HOSPITAL - BALDWIN PARK,930000390,Parent Facility,14148 FRANCISQUITO AVE,BALDWIN PARK,91706,19,Los Angeles,None,95,Open,12/23/2003,Hospital,General Acute Care Hospital,34.06288,-117.967611
106190052,BARLOW RESPIRATORY HOSPITAL,930000011,Parent Facility,2000 STADIUM WAY,LOS ANGELES,90026,19,Los Angeles,None,105,Open,1/1/1946,Hospital,General Acute Care Hospital,34.08058,-118.24744
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,930000012,Parent Facility,1050 Linden Ave,Long Beach,90813,19,Los Angeles,Emergency - Basic,360,Open,1/1/1946,Hospital,General Acute Care Hospital,33.7802376,-118.1866412
106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,930000039,Consolidated Facility,9542 Artesia Blvd,Bellflower,90706,19,Los Angeles,Emergency - Basic,144,Open,7/23/2015,Hospital,General Acute Care Hospital,33.87472,-118.12945
106190081,BEVERLY HOSPITAL,930000389,Parent Facility,309 W BEVERLY BLVD,MONTEBELLO,90640,19,Los Angeles,Emergency - Basic,202,Open,1/1/1946,Hospital,General Acute Care Hospital,34.01614,-118.10132
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,930000066,Consolidated Facility,3828 Delmas Ter,Culver City,90232,19,Los Angeles,Emergency - Basic,453,Open,1/1/2013,Hospital,General Acute Care Hospital,34.0231953,-118.3969429
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,930000024,Parent Facility,1401 S GRAND AVE,LOS ANGELES,90015,19,Los Angeles,Emergency - Basic,318,Open,1/1/1946,Hospital,General Acute Care Hospital,34.03721,-118.26551
106190137,CASA COLINA HOSPITAL,930000026,Parent Facility,255 E Bonita Ave,Pomona,91767,19,Los Angeles,None,99,Open,2/28/1961,Hospital,General Acute Care Hospital,34.096265,-117.745655
106190148,CENTINELA HOSPITAL MEDICAL CENTER,930000027,Parent Facility,555 E HARDY ST,INGLEWOOD,90301,19,Los Angeles,Emergency - Basic,362,Open,1/1/1946,Hospital,General Acute Care Hospital,33.94917,-118.34788
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,930000028,Parent Facility,4211 Avalon Blvd,Los Angeles,90011,19,Los Angeles,Not Applicable,72,Open,10/17/1973,Hospital,Acute Psychiatric Hospital,34.0073123,-118.2661803
106190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",930000029,Parent Facility,2070 Century Park E,Los Angeles,90067,19,Los Angeles,None,138,Open,7/19/2016,Hospital,General Acute Care Hospital,34.05899,-118.4124
106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,930000030,Parent Facility,21530 Pioneer Blvd,Hawaiian Gardens,90716,19,Los Angeles,Emergency - Basic,137,Suspense,2/3/2017,Hospital,General Acute Care Hospital,33.83377,-118.08176
106190163,AURORA CHARTER OAK,930000031,Parent Facility,1161 E COVINA BLVD,COVINA,91724,19,Los Angeles,Not Applicable,134,Open,1/1/1946,Hospital,Acute Psychiatric Hospital,34.10038,-117.866811
106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,930000032,Parent Facility,4650 W Sunset Blvd,Los Angeles,90027,19,Los Angeles,Emergency - Basic,495,Open,1/1/1946,Hospital,General Acute Care Hospital,34.0978692,-118.2909547
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,930000033,Parent Facility,1500 Duarte Rd,Duarte,91010,19,Los Angeles,None,217,Open,3/8/1946,Hospital,General Acute Care Hospital,34.13219,-117.97356
106190184,COLLEGE HOSPITAL,930000036,Parent Facility,10802 College Pl,Cerritos,90703,19,Los Angeles,Not Applicable,187,Open,4/14/1974,Hospital,Acute Psychiatric Hospital,33.8852,-118.10264
106190196,KINDRED HOSPITAL - SOUTH BAY,930000037,Parent Facility,1246 W 155TH ST,GARDENA,90247,19,Los Angeles,None,54,Open,7/17/1957,Hospital,General Acute Care Hospital,33.89042,-118.29701
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,930000038,Parent Facility,2623 E SLAUSON AVE,HUNTINGTON PARK,90255,19,Los Angeles,Emergency - Basic,81,Open,12/31/1957,Hospital,General Acute Care Hospital,33.98929,-118.22466
106190198,LOS ANGELES COMMUNITY HOSPITAL,930000039,Parent Facility,4081 E OLYMPIC BLVD,LOS ANGELES,90023,19,Los Angeles,Emergency - Standby,130,Open,10/24/1957,Hospital,General Acute Care Hospital,34.01897,-118.1875
106190200,SAN GABRIEL VALLEY MEDICAL CENTER,930000041,Parent Facility,438 W LAS TUNAS DR,SAN GABRIEL,91776,19,Los Angeles,Emergency - Basic,273,Open,8/17/1960,Hospital,General Acute Care Hospital,34.1024,-118.10503
106190232,DEL AMO HOSPITAL,930000045,Parent Facility,23700 Camino del Sol,Torrance,90505,19,Los Angeles,Not Applicable,166,Open,10/25/1972,Hospital,Acute Psychiatric Hospital,33.80883,-118.34418
106190240,LAKEWOOD REGIONAL MEDICAL CENTER,930000046,Parent Facility,3700 South St,Lakewood,90712,19,Los Angeles,Emergency - Basic,172,Open,5/17/1972,Hospital,General Acute Care Hospital,33.859731,-118.1492012
106190243,PIH HEALTH HOSPITAL - DOWNEY,930000048,Parent Facility,11500 Brookshire Ave,Downey,90241,19,Los Angeles,Emergency - Basic,199,Open,9/18/1969,Hospital,General Acute Care Hospital,33.93515,-118.13196
106190256,EAST LOS ANGELES DOCTORS HOSPITAL,930000049,Parent Facility,4060 WHITTIER BLVD,LOS ANGELES,90023,19,Los Angeles,Emergency - Basic,127,Open,8/15/1949,Hospital,General Acute Care Hospital,34.02383,-118.18377
106190280,ENCINO HOSPITAL MEDICAL CENTER,930000051,Parent Facility,16237 VENTURA BLVD,ENCINO,91436,19,Los Angeles,Emergency - Basic,148,Open,11/8/1954,Hospital,General Acute Care Hospital,34.15686,-118.48662
106190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,930000052,Parent Facility,250 S GRAND AVE,GLENDORA,91741,19,Los Angeles,Emergency - Basic,105,Open,3/26/1973,Hospital,General Acute Care Hospital,34.13384,-117.87244
106190305,KINDRED HOSPITAL - LOS ANGELES,930000053,Parent Facility,5525 W SLAUSON AVE,LOS ANGELES,90056,19,Los Angeles,None,81,Open,4/28/1958,Hospital,General Acute Care Hospital,33.99021,-118.378431
106190315,GARFIELD MEDICAL CENTER,930000057,Parent Facility,525 N GARFIELD AVE,MONTEREY PARK,91754,19,Los Angeles,Emergency - Basic,210,Open,1/1/1946,Hospital,General Acute Care Hospital,34.06826,-118.12302
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,930000058,Parent Facility,1891 EFFIE ST,LOS ANGELES,90026,19,Los Angeles,Not Applicable,55,Open,7/2/1974,Hospital,Acute Psychiatric Hospital,34.08515,-118.256571
