GEONAME,Pop_Tot,Pop_Tot_%,Prop_65y,Prop_65y_rank,Poverty,Poverty_rank,Median_incoms,MI_rank,Farmers_market,Farmers_market_rank,Food_insecurity,Food_insecurity_rank,School_Meals,School_Meals_rank,Health_index,Health_index_rank
Alhambra,"86,705",1%,17%,1.305,47%,0.857,"53,582",0.953,1,0.491,,0.000,66%,0.982,43.3,0.968
Altadena,"42,525",0%,17%,1.338,33%,0.601,"86,050",1.531,1,0.491,,0.000,56%,0.832,75.5,1.688
Arcadia,"56,992",1%,18%,1.424,28%,0.518,"79,934",1.422,0,0.000,,0.000,21%,0.307,73.4,1.641
Azusa,"49,479",0%,10%,0.749,56%,1.024,"53,135",0.946,0,0.000,20%,0.687,81%,1.199,34.2,0.765
Baldwin Park,"74,438",1%,10%,0.821,57%,1.049,"51,742",0.921,1,0.491,25%,0.866,87%,1.299,22.3,0.499
Bell,"36,595",0%,9%,0.672,92%,1.698,"37,269",0.663,0,0.000,,0.000,88%,1.307,10.4,0.232
Bell Gardens,"42,817",0%,7%,0.549,96%,1.770,"37,882",0.674,0,0.000,,0.000,86%,1.282,4.1,0.092
Bellflower,"76,057",1%,11%,0.853,57%,1.052,"48,823",0.869,1,0.491,21%,0.719,81%,1.210,27.9,0.624
Beverly Hills,"34,652",0%,20%,1.584,24%,0.442,"97,327",1.732,1,0.491,17%,0.576,8%,0.121,88.1,1.969
Burbank,"104,692",1%,15%,1.173,26%,0.475,"66,076",1.176,1,0.491,15%,0.511,33%,0.487,62.2,1.390
Calabasas,"24,182",0%,16%,1.247,18%,0.334,"106,050",1.887,1,0.491,,0.000,9%,0.129,91.6,2.048
Carson,"93,739",1%,16%,1.274,33%,0.607,"72,421",1.289,1,0.491,,0.000,75%,1.113,58,1.297
Cerritos,"49,250",0%,23%,1.774,13%,0.237,"90,321",1.607,1,0.491,,0.000,35%,0.517,79.7,1.782
Claremont,"36,121",0%,18%,1.433,18%,0.336,"88,523",1.575,1,0.491,16%,0.563,35%,0.527,78.3,1.750
Compton,"100,952",1%,8%,0.660,83%,1.530,"43,507",0.774,0,0.000,25%,0.859,81%,1.210,9,0.201
Covina,"49,132",0%,14%,1.073,41%,0.760,"64,813",1.153,0,0.000,25%,0.872,64%,0.950,51.7,1.156
Cudahy,"24,526",0%,7%,0.548,104%,1.921,"36,429",0.648,0,0.000,,0.000,87%,1.300,11.1,0.248
Culver City,"40,351",0%,17%,1.353,21%,0.395,"81,189",1.445,0,0.000,12%,0.411,31%,0.455,81.1,1.813
Diamond Bar,"57,128",1%,16%,1.286,21%,0.385,"89,221",1.588,0,0.000,,0.000,21%,0.312,74.8,1.672
Downey,"113,812",1%,12%,0.944,47%,0.867,"62,897",1.119,2,0.983,16%,0.552,68%,1.008,48.9,1.093
East Los Angeles,"125,802",1%,10%,0.784,92%,1.696,"38,766",0.690,1,0.491,28%,0.949,88%,1.309,6.2,0.139
El Monte,"113,636",1%,11%,0.898,75%,1.376,"38,085",0.678,0,0.000,25%,0.871,91%,1.359,11.8,0.264
Florence-Graham,"65,822",1%,7%,0.555,111%,2.042,"33,934",0.604,0,0.000,27%,0.913,92%,1.365,2.7,0.060
