Health District,Percent ,Estimated #
Alhambra,14.00%,"38,000"
Antelope Valley,24.40%,"70,000"
Bellflower,14.10%,"38,000"
Central,30.80%,"84,000"
Compton,22.10%,"43,000"
East LA,25.70%,"37,000"
East Valley,22.50%,"80,000"
El Monte,24.20%,"79,000"
Foothill,11.40%,"27,000"
Glendale,12.80%,"36,000"
Harbor,10.40%,"16,000"
Hollywood-Wilshire,31.50%,"130,000"
Inglewood,29.20%,"90,000"
Long Beach,24.60%,"89,000"
Northeast,21.90%,"52,000"
Pasadena,13.10%,"15,000"
Pomona,21.80%,"92,000"
San Antonio,25.00%,"77,000"
San Fernando,18.30%,"74,000"
South,37.80%,"51,000"
Southeast,31.30%,"37,000"
Southwest,29.20%,"86,000"
Torrance,14.30%,"52,000"
West,12.50%,"68,000"
West Valley,21.30%,"148,000"
Whittier,17.20%,"42,000"
